Job Title,Company Name,Location,Job Type
Portworx -Kubernetes Storage Consultant,LETITBEX AI -,"Dubai, United Arab Emirates ",Full Time
Senior Director Business Development - Public Sector,Publicis Sapient -,"Riyadh, Saudi Arabia ",Full Time
Controller (REMOTE),Jobgether -,"Riyadh, Saudi Arabia ",Full Time
Technical Delivery Manager,Analog -,"Dubai, United Arab Emirates ",Full Time
Data Analytics Lead | Corporate Services | Group Tech & Digital Platforms,Al-Futtaim Automotive - الفطيم للسيارات -,"Dubai, United Arab Emirates ",Full Time
Project Manager - Ubuntu Embedded Systems,Canonical -,"Makkah, Saudi Arabia ",Full Time
Partner Solutions Architect (EMEA),Datadog -,"Dubai, United Arab Emirates ",Full Time
Solutions Architect,Mindsets -,"Riyadh, Saudi Arabia ",Full Time
Client Sales Manager - Infrastructure Solutions - Qatar,Lenovo -,"Dubai, United Arab Emirates ",Full Time
"Client Sales Manager - Infrastructure Solutions - Abu Dhabi, UAE",Lenovo -,"Dubai, United Arab Emirates ",Full Time
Research Scientist Intern,GenBio AI -,"Dubai, United Arab Emirates ",Full Time
Remote Entry Level Systems Developer,Jobgether -,"Riyadh, Saudi Arabia ",Full Time
